,accommodates,bathrooms,neighbourhood,num_beds,price,property_type
256,2,1.0,Downtown Eastside,3,144,Condominium
257,3,1.0,Downtown Vancouver,3,140,Condominium
258,2,1.0,Downtown Vancouver,3,129,Condominium
259,4,1.0,Downtown Vancouver,3,119,Condominium
261,2,1.0,Downtown Vancouver,3,125,Condominium
262,2,1.0,Fairview,3,115,Condominium
263,2,1.0,Downtown Vancouver,3,130,Condominium
265,2,1.0,Downtown Vancouver,3,130,Condominium
266,4,1.5,Downtown Vancouver,3,119,Condominium
267,2,1.0,Downtown Vancouver,3,130,Condominium
268,4,1.0,Fairview,3,146,Condominium
269,2,1.0,Downtown Vancouver,3,119,Condominium
270,2,2.0,Downtown Vancouver,3,125,Condominium
272,2,1.0,Downtown Vancouver,3,119,Condominium
273,2,1.0,Downtown Vancouver,3,138,Condominium
274,2,1.0,Downtown Vancouver,3,130,Condominium
276,2,1.0,Downtown Vancouver,3,130,Condominium
278,2,1.0,Kitsilano,3,119,Condominium
279,2,1.0,Mount Pleasant,3,126,Condominium
281,3,1.0,Downtown Vancouver,3,140,Condominium
285,2,1.0,Downtown Vancouver,3,125,Condominium
286,2,1.0,West End,3,146,Condominium
290,2,1.0,Hastings-Sunrise,3,125,Condominium
291,4,2.0,Riley Park,3,125,Condominium
293,3,1.0,Strathcona,3,115,Condominium
294,3,1.0,Downtown Vancouver,3,130,Condominium
295,4,1.0,Downtown Vancouver,3,129,Condominium
297,3,2.0,Downtown Vancouver,3,108,Condominium
305,6,2.0,Kensington-Cedar Cottage,4,160,House
307,6,2.0,Commercial Drive,4,195,House
308,3,1.5,Riley Park,4,174,House
309,4,1.0,Shaughnessy,4,160,House
311,4,1.0,Kitsilano,4,195,House
312,6,2.0,Oakridge,4,160,House
313,4,1.0,Hastings-Sunrise,4,195,House
314,5,1.5,Kensington-Cedar Cottage,4,171,House
317,6,1.5,Renfrew-Collingwood,4,169,House
318,5,1.0,Kitsilano,4,186,House
319,5,1.0,Arbutus Ridge,4,174,House
320,4,1.5,Grandview-Woodland,4,189,House
322,5,1.0,Kitsilano,4,180,House
324,7,1.5,Fraserview,4,174,House
327,6,1.5,Marpole,4,198,House
330,6,1.0,Marpole,4,174,House
331,7,1.0,Hastings-Sunrise,4,195,House
332,5,1.0,Riley Park,4,189,House
334,4,1.0,Mount Pleasant,4,155,House
335,4,2.0,Kitsilano,4,171,House
336,8,1.0,Killarney,4,171,House
338,4,1.0,Dunbar-Southlands,4,174,House
340,6,1.0,Commercial Drive,4,185,House
341,4,1.0,Grandview-Woodland,4,189,House
342,2,1.0,Dunbar-Southlands,4,160,House
343,11,2.0,Killarney,4,174,House
345,6,1.5,Kensington-Cedar Cottage,4,195,House
346,4,1.0,Grandview-Woodland,4,180,House
347,3,1.0,Hastings-Sunrise,4,169,House
348,6,2.0,Renfrew-Collingwood,4,178,House
349,4,1.0,Point Grey/University of British Columbia,4,189,House
351,6,2.0,Mount Pleasant,4,188,House
352,4,1.0,Shaughnessy,4,156,House
355,5,1.0,Shaughnessy,4,188,House
356,5,1.0,Kitsilano,4,188,House
359,3,1.0,Grandview-Woodland,4,155,House
360,5,1.0,Shaughnessy,4,198,House
361,4,1.0,Shaughnessy,4,195,House
363,5,1.0,Kensington-Cedar Cottage,4,160,House
366,4,1.0,Kensington-Cedar Cottage,4,160,House
372,5,1.0,Fraserview,4,171,House
373,8,1.0,Marpole,4,171,House
377,6,2.0,Grandview-Woodland,4,180,House
378,6,1.5,Kensington-Cedar Cottage,4,180,House
379,4,1.0,Riley Park,4,174,House
380,4,1.0,Hastings-Sunrise,4,193,House
382,6,1.0,Hastings-Sunrise,4,160,House
384,4,1.0,Renfrew-Collingwood,4,168,House
386,6,1.0,Fraserview,4,190,House
388,8,2.0,Grandview-Woodland,4,189,House
389,6,2.0,Dunbar-Southlands,4,174,House
390,4,2.0,Kensington-Cedar Cottage,4,188,House
391,6,1.0,Point Grey/University of British Columbia,4,156,House
392,4,1.0,Killarney,4,188,House
393,2,1.0,Point Grey/University of British Columbia,4,161,House
396,4,1.0,Commercial Drive,4,174,House
397,4,1.0,Oakridge,4,169,House
399,6,1.0,Grandview-Woodland,4,169,House
401,4,1.0,Hastings-Sunrise,4,167,House
402,5,1.0,Marpole,4,155,House
403,5,1.5,Arbutus Ridge,4,190,House
405,4,2.0,Point Grey/University of British Columbia,4,198,House
407,6,1.0,Killarney,4,188,House
304,5,2.0,Dunbar-Southlands,5,245,House
306,3,2.5,Point Grey/University of British Columbia,5,224,House
310,4,1.5,Kitsilano,5,249,House
315,6,1.5,Riley Park,5,205,House
316,10,1.0,Grandview-Woodland,5,240,House
321,8,2.0,Fraserview,5,228,House
323,6,2.5,Kensington-Cedar Cottage,5,220,House
325,5,1.0,Mount Pleasant,5,243,House
326,6,1.0,Point Grey/University of British Columbia,5,228,House
328,4,1.0,Kensington-Cedar Cottage,5,224,House
329,10,2.0,Fraserview,5,230,House
333,5,1.0,Grandview-Woodland,5,220,House
337,5,2.5,Grandview-Woodland,5,224,House
339,9,2.0,Arbutus Ridge,5,240,House
344,4,1.0,South Cambie,5,214,House
350,4,1.0,Kitsilano,5,226,House
353,2,1.0,Riley Park,5,203,House
354,8,2.0,Hastings-Sunrise,5,248,House
357,4,1.0,Renfrew-Collingwood,5,235,House
358,6,2.0,Kensington-Cedar Cottage,5,249,House
362,6,2.0,South Cambie,5,235,House
364,6,2.0,Riley Park,5,232,House
365,6,1.0,Kitsilano,5,245,House
367,2,1.0,Commercial Drive,5,210,House
368,5,2.5,Commercial Drive,5,245,House
369,8,2.0,Fraserview,5,239,House
370,5,1.0,Kitsilano,5,224,House
371,2,1.5,Kitsilano,5,209,House
374,6,3.0,Riley Park,5,209,House
375,5,2.0,Mount Pleasant,5,215,House
376,3,1.0,Fraserview,5,224,House
381,6,1.0,Oakridge,5,206,House
383,6,2.5,Kensington-Cedar Cottage,5,239,House
385,6,3.0,Commercial Drive,5,220,House
387,4,1.5,Marpole,5,228,House
394,13,4.0,Kensington-Cedar Cottage,5,205,House
395,4,1.0,Mount Pleasant,5,240,House
398,7,3.0,Grandview-Woodland,5,234,House
400,5,2.5,Kitsilano,5,249,House
404,4,1.0,Mount Pleasant,5,224,House
406,6,1.5,Riley Park,5,220,House
10,6,1.0,Downtown Vancouver,1,13,Condominium
0,,1.0,,1,39,Apartment
